I,II,V1,V2,V3,V4,V5,V6,III,aVR,aVL,aVF
82,43,-175,-390,-165,4,112,-19,-39,-62,60,2
68,39,-175,-390,-165,9,126,-9,-29,-53,48,5
53,34,-175,-390,-165,14,141,0,-19,-43,36,7
39,29,-175,-390,-165,19,156,9,-10,-34,24,9
53,14,-175,-405,-175,14,146,0,-39,-33,46,-12
58,9,-175,-409,-185,9,136,0,-49,-33,53,-20
63,4,-175,-414,-195,4,126,0,-59,-33,61,-27
68,0,-175,-419,-204,0,117,0,-68,-34,68,-34
78,4,-190,-419,-195,14,146,9,-74,-41,76,-35
87,9,-195,-419,-195,29,165,19,-78,-48,82,-34
