I,II,V1,V2,V3,V4,V5,V6,III,aVR,aVL,aVF
-14,-190,-292,-351,-370,-278,-897,-68,-176,102,81,-183
-58,-195,-248,-292,-336,-253,-907,-78,-137,126,39,-166
-43,-136,-204,-229,-283,-224,-897,-73,-93,89,25,-114
19,-48,-136,-151,-214,-190,-858,-39,-67,14,43,-57
48,-9,-82,-97,-161,-156,-829,-24,-57,-19,52,-33
19,-24,-39,-58,-131,-136,-839,-24,-43,2,31,-33
0,-34,-14,-24,-102,-122,-824,-34,-34,17,17,-34
-9,-39,-9,4,-107,-102,-810,-43,-30,24,10,-34
-58,-82,-4,24,-107,-107,-810,-73,-24,70,-17,-53
-102,-117,0,24,-102,-107,-810,-73,-15,109,-43,-66
-122,-112,9,29,-102,-107,-810,-73,10,117,-66,-51
-126,-97,19,39,-97,-102,-810,-68,29,111,-77,-34
-117,-87,29,43,-87,-102,-805,-58,30,102,-73,-28
-107,-63,43,53,-82,-97,-785,-58,44,85,-75,-9
-102,-78,48,63,-73,-97,-780,-58,24,90,-63,-27
-92,-78,48,68,-68,-97,-766,-58,14,85,-53,-32
-58,-39,63,82,-43,-78,-756,-43,19,48,-38,-10
-24,-9,78,87,-34,-73,-736,-39,15,16,-19,3
-9,9,82,87,-34,-58,-712,-29,18,0,-13,13
4,19,87,92,-34,-53,-702,-19,15,-11,-5,17
-34,-4,78,87,-43,-68,-712,-29,30,19,-32,13
-63,-29,73,87,-43,-73,-702,-39,34,46,-48,2
-87,-58,63,87,-43,-78,-702,-48,29,72,-58,-14
-112,-82,58,82,-43,-78,-707,-63,30,97,-71,-26
-112,-82,68,82,-53,-87,-722,-58,30,97,-71,-26
-107,-82,68,87,-43,-87,-727,-53,25,94,-66,-28
-107,-73,68,97,-39,-78,-732,-43,34,90,-70,-19
-102,-68,68,87,-39,-78,-727,-39,34,85,-68,-17
-82,-58,63,102,-34,-73,-727,-43,24,70,-53,-17
-63,-48,63,107,-24,-68,-732,-43,15,55,-39,-16
-53,-39,68,112,-19,-63,-732,-39,14,46,-33,-12
-43,-19,68,122,-14,-58,-732,-39,24,31,-33,2
-29,-19,82,131,-19,-63,-746,-34,10,24,-19,-4
-34,-19,87,126,-14,-58,-761,-34,15,26,-24,-2
-53,-24,87,122,-14,-48,-766,-29,29,38,-41,2
-58,-24,82,117,-9,-58,-771,-29,34,41,-46,5
-68,-39,68,112,-9,-68,-780,-43,29,53,-48,-5
-78,-68,63,107,-9,-68,-790,-48,10,73,-44,-29
-87,-82,58,107,-24,-73,-795,-48,5,84,-46,-38
-87,-92,53,112,-14,-73,-800,-43,-5,89,-41,-48
-112,-92,53,112,-19,-73,-805,-53,20,102,-66,-36
-102,-82,53,107,-19,-73,-810,-53,20,92,-61,-31
-102,-82,53,102,-19,-73,-814,-53,20,92,-61,-31
-102,-97,53,97,-19,-78,-819,-58,5,99,-53,-46
-73,-58,68,107,-4,-58,-795,-48,15,65,-44,-21
-63,-29,73,117,4,-43,-785,-29,34,46,-48,2
-29,0,78,131,29,-24,-756,-19,29,14,-29,14
19,39,82,141,39,-9,-732,-9,20,-29,0,29
-9,19,82,141,34,-19,-741,-24,28,-5,-18,23
-43,-4,78,141,29,-29,-741,-24,39,23,-41,17
-63,-29,73,141,34,-34,-761,-29,34,46,-48,2
-68,-43,73,146,24,-34,-771,-34,25,55,-46,-9
-58,-29,73,146,29,-24,-751,-34,29,43,-43,0
-58,-29,68,141,29,-24,-746,-24,29,43,-43,0
-43,-34,68,141,34,-24,-736,-24,9,38,-26,-12
-58,-34,63,151,43,-24,-727,-29,24,46,-41,-5
-34,-24,78,161,58,-9,-727,-24,10,29,-22,-7
-24,-19,82,165,58,-9,-736,-24,5,21,-14,-7
-14,-19,87,165,68,-9,-751,-19,-5,16,-4,-12
-9,-14,97,165,78,0,-751,-4,-5,11,-2,-9
-19,-14,87,161,82,19,-741,-9,5,16,-12,-4
-19,-14,82,161,82,19,-741,-9,5,16,-12,-4
-14,-4,73,161,78,29,-761,-4,10,9,-12,3
-4,-9,68,161,82,34,-761,-4,-5,6,0,-7
9,14,78,165,97,34,-746,4,5,-11,2,9
9,19,73,170,107,34,-746,4,10,-14,0,14
9,14,73,170,112,39,-746,4,5,-11,2,9
0,19,68,165,112,39,-756,4,19,-9,-9,19
-9,9,63,175,112,53,-741,4,18,0,-13,13
-19,0,63,175,117,63,-722,9,19,9,-19,9
-14,-4,63,185,126,68,-717,14,10,9,-12,3
-9,-9,58,170,131,73,-707,14,0,9,-4,-4
9,19,58,185,156,82,-692,24,10,-14,0,14
34,9,63,185,161,92,-678,29,-25,-21,29,-8
34,9,63,180,161,92,-668,29,-25,-21,29,-8
34,-4,53,180,161,92,-658,29,-38,-15,36,-21
43,-14,43,175,165,97,-658,19,-57,-14,50,-35
53,-9,39,175,170,102,-649,24,-62,-22,57,-35
48,-9,39,175,175,112,-649,24,-57,-19,52,-33
43,-9,39,175,180,112,-649,29,-52,-17,47,-30
63,14,34,185,190,131,-644,39,-49,-38,56,-17
92,29,39,185,200,136,-624,48,-63,-60,77,-17
122,58,43,185,214,146,-614,53,-64,-90,93,-3
146,82,43,180,224,156,-595,63,-64,-114,105,9
117,58,34,170,219,146,-619,58,-59,-87,88,0
107,43,19,165,209,141,-624,53,-64,-75,85,-10
73,4,9,156,204,141,-629,48,-69,-38,71,-32
78,0,9,156,200,141,-644,43,-78,-39,78,-39
63,-9,0,146,209,146,-644,34,-72,-27,67,-40
78,-9,0,141,209,146,-629,39,-87,-34,82,-48
82,4,4,136,209,151,-629,53,-78,-43,80,-37
87,24,4,122,209,161,-629,53,-63,-55,75,-19
122,34,4,122,214,151,-629,53,-88,-78,105,-27
126,34,0,126,214,146,-639,58,-92,-80,109,-29
126,34,-9,126,204,141,-658,58,-92,-80,109,-29
122,9,-9,117,190,131,-678,43,-113,-65,117,-52
102,-4,-19,102,180,136,-688,39,-106,-49,104,-55
112,0,-19,92,175,136,-692,43,-112,-56,112,-56
117,19,-29,87,175,131,-688,48,-98,-68,107,-39
126,43,-29,87,175,131,-707,43,-83,-84,104,-20
122,29,-29,97,170,126,-732,24,-93,-75,107,-32
112,19,-29,87,161,112,-722,24,-93,-65,102,-37
102,19,-34,82,151,107,-741,29,-83,-60,92,-32
92,14,-39,82,141,97,-756,29,-78,-53,85,-32
87,14,-39,73,141,102,-766,29,-73,-50,80,-29
78,-4,-39,68,131,102,-775,29,-82,-37,80,-43
58,-9,-39,63,126,87,-775,24,-67,-24,62,-38
48,-29,-39,58,122,78,-771,24,-77,-9,62,-53
68,-9,-34,68,117,78,-761,24,-77,-29,72,-43
92,19,-29,63,117,73,-761,24,-73,-55,82,-27
117,39,-24,63,112,68,-761,24,-78,-78,97,-19
131,58,-19,68,107,73,-766,29,-73,-94,102,-7
112,48,-24,58,87,58,-785,14,-64,-80,88,-8
102,39,-19,58,82,53,-785,9,-63,-70,82,-12
92,24,-24,58,78,48,-766,14,-68,-58,80,-22
78,14,-29,53,68,34,-766,0,-64,-46,71,-25
48,-14,-34,43,53,24,-771,-4,-62,-17,55,-38
29,-34,-34,34,43,9,-771,-9,-63,2,46,-48
24,-39,-29,43,43,4,-771,-9,-63,7,43,-51
9,-43,-24,43,39,4,-771,-9,-52,17,30,-47
29,-29,-9,58,43,14,-756,0,-58,0,43,-43
53,-4,-9,58,48,14,-756,4,-57,-24,55,-30
53,-14,-14,53,43,4,-756,4,-67,-19,60,-40
39,-24,-14,53,48,0,-746,0,-63,-7,51,-43
19,-29,-14,48,34,-4,-761,-14,-48,5,33,-38
-4,-58,-19,39,19,-14,-780,-24,-54,31,25,-56
-29,-92,-24,24,9,-34,-795,-29,-63,60,17,-77
-43,-87,-29,14,0,-39,-800,-34,-44,65,0,-65
-29,-58,-9,34,4,-34,-785,-19,-29,43,0,-43
-19,-48,0,43,9,-29,-790,-14,-29,33,5,-38
-9,-14,14,53,9,-29,-775,-9,-5,11,-2,-9
9,-19,19,58,14,-24,-761,-4,-28,5,18,-23
9,-19,29,73,24,-24,-751,14,-28,5,18,-23
14,4,43,73,19,-19,-766,14,-10,-9,12,-3
48,43,48,78,19,-14,-766,14,-5,-45,26,19
73,68,58,82,29,-9,-766,14,-5,-70,39,31
48,48,34,68,14,-24,-775,4,0,-48,24,24
9,19,29,63,-4,-39,-790,-4,10,-14,0,14
-14,-9,24,48,-14,-53,-805,-24,5,11,-9,-2
-43,-43,24,43,-24,-63,-810,-43,0,43,-21,-21
-34,-34,29,53,-19,-63,-805,-29,0,34,-17,-17
-24,-9,29,53,-19,-58,-800,-19,15,16,-19,3
-24,-19,29,63,-14,-53,-800,-14,5,21,-14,-7
-53,-43,34,68,-14,-53,-795,-19,10,48,-31,-16
-53,-29,43,78,-4,-43,-800,-9,24,41,-38,-2
-4,9,53,78,-9,-43,-800,-4,13,-2,-8,11
24,24,53,78,-19,-48,-790,-4,0,-24,12,12
48,39,53,78,-24,-53,-780,-9,-9,-43,28,15
24,19,53,68,-24,-63,-780,-19,-5,-21,14,7
0,0,53,73,-24,-63,-780,-19,0,0,0,0
-19,-14,63,78,-24,-63,-785,-14,5,16,-12,-4
-43,-34,63,78,-24,-73,-785,-14,9,38,-26,-12
-29,-19,53,68,-43,-82,-780,-29,10,24,-19,-4
-43,-24,53,63,-43,-82,-780,-29,19,33,-31,-2
-39,-24,53,63,-43,-82,-790,-29,15,31,-27,-4
-43,-29,58,68,-43,-87,-780,-34,14,36,-28,-7
-68,-48,48,58,-58,-92,-775,-39,20,58,-44,-14
-87,-78,43,58,-68,-97,-775,-53,9,82,-48,-34
-112,-97,34,58,-73,-112,-785,-58,15,104,-63,-41
-146,-112,29,58,-73,-117,-785,-58,34,129,-90,-39
-112,-92,34,73,-58,-102,-761,-43,20,102,-66,-36
-82,-73,43,78,-58,-102,-746,-39,9,77,-45,-32
-87,-53,58,82,-53,-97,-741,-34,34,70,-60,-9
-73,-19,68,92,-48,-87,-732,-24,54,46,-63,17
-63,-14,63,92,-43,-82,-736,-14,49,38,-56,17
-58,-14,73,87,-43,-82,-736,-19,44,36,-51,15
-63,-19,73,82,-48,-87,-746,-34,44,41,-53,12
-78,-34,68,78,-53,-107,-756,-48,44,56,-61,5
-73,-53,68,78,-63,-117,-746,-48,20,63,-46,-16
-82,-78,68,78,-73,-117,-761,-48,4,80,-43,-37
-107,-92,63,73,-73,-122,-766,-53,15,99,-61,-38
-131,-92,63,68,-73,-122,-775,-58,39,111,-85,-26
-122,-78,73,78,-58,-112,-775,-48,44,100,-83,-17
-92,-53,78,87,-48,-107,-775,-39,39,72,-65,-7
-58,-4,78,92,-39,-97,-775,-29,54,31,-56,25
-34,9,82,97,-39,-97,-775,-29,43,12,-38,26
-48,9,87,97,-39,-97,-795,-19,57,19,-52,33
-39,9,87,97,-34,-87,-780,-19,48,15,-43,28
-34,19,107,102,-34,-68,-780,-19,53,7,-43,36
-4,48,112,117,-19,-68,-775,0,52,-22,-28,50
-29,34,102,117,-24,-78,-785,-14,63,-2,-46,48
-48,19,97,112,-29,-87,-790,-19,67,14,-57,43
-68,4,87,107,-34,-92,-800,-24,72,32,-70,38
-58,0,102,112,-29,-92,-805,-24,58,29,-58,29
9,63,131,136,0,-58,-790,-9,54,-36,-22,58
9,82,141,151,9,-39,-771,9,73,-45,-32,77
-9,53,131,151,0,-48,-761,9,62,-22,-35,57
-24,24,122,131,-14,-68,-761,-14,48,0,-36,36
-68,-19,107,126,-29,-87,-771,-29,49,43,-58,15
-58,-9,107,126,-29,-78,-761,-29,49,33,-53,20
-58,-9,107,126,-29,-78,-761,-29,49,33,-53,20
-58,-9,107,126,-29,-78,-761,-29,49,33,-53,20
-58,-9,107,126,-29,-78,-761,-29,49,33,-53,20
-58,-19,107,117,-24,-82,-751,-34,39,38,-48,10
-68,-19,112,122,-19,-78,-751,-34,49,43,-58,15
-68,-29,117,126,-14,-73,-741,-24,39,48,-53,5
-82,-39,117,126,-14,-63,-741,-24,43,60,-62,2
-58,-19,126,136,-4,-53,-732,-19,39,38,-48,10
-63,-4,131,131,-9,-53,-727,-14,59,33,-61,27
-53,9,131,131,0,-43,-717,-4,62,22,-57,35
-29,48,131,136,9,-34,-702,4,77,-9,-53,62
-14,43,112,131,0,-43,-712,0,57,-14,-35,50
9,43,102,122,0,-43,-712,0,34,-26,-12,38
-14,34,92,112,9,-48,-712,0,48,-10,-31,41
-24,24,82,107,0,-53,-712,-4,48,0,-36,36
-53,14,78,112,-14,-43,-712,4,67,19,-60,40
-53,9,73,102,-14,-43,-712,4,62,22,-57,35
-43,4,63,97,-14,-48,-712,4,47,19,-45,25
-24,14,63,97,-14,-48,-722,4,38,5,-31,26
-4,34,68,97,0,-34,-722,19,38,-15,-21,36
24,53,73,102,4,-29,-717,29,29,-38,-2,41
34,63,63,97,9,-19,-707,19,29,-48,2,46
34,48,53,87,4,-34,-702,14,14,-41,10,31
24,29,48,82,-14,-48,-727,0,5,-26,9,17
48,29,39,68,-14,-53,-732,0,-19,-38,33,5
39,39,29,58,-19,-58,-732,0,0,-39,19,19
34,29,29,53,-19,-58,-727,0,-5,-31,19,12
19,19,24,63,-19,-58,-736,-9,0,-19,9,9
14,4,24,58,-24,-63,-756,-14,-10,-9,12,-3
-4,0,19,53,-34,-63,-766,-19,4,2,-4,2
-9,0,19,53,-34,-63,-766,-19,9,4,-9,4
-14,-14,9,53,-39,-58,-771,-19,0,14,-7,-7
-14,-9,24,58,-34,-58,-775,-14,5,11,-9,-2
-19,-14,34,63,-29,-58,-790,-14,5,16,-12,-4
-19,-14,34,63,-29,-58,-795,-14,5,16,-12,-4
4,9,39,63,-19,-53,-780,-4,5,-6,0,7
0,4,43,63,-24,-53,-790,-14,4,-2,-2,4
14,19,48,63,-29,-48,-785,-14,5,-16,4,12
29,34,53,63,-34,-48,-771,-9,5,-31,12,19
4,9,39,58,-43,-63,-775,-14,5,-6,0,7
-14,-4,34,53,-48,-68,-790,-29,10,9,-12,3
-63,-39,29,39,-63,-82,-814,-43,24,51,-43,-7
-107,-82,24,29,-63,-87,-819,-63,25,94,-66,-28
-92,-68,24,29,-63,-78,-800,-48,24,80,-58,-22
-78,-53,29,29,-63,-78,-800,-43,25,65,-51,-14
-73,-39,34,34,-63,-82,-800,-43,34,56,-53,-2
-53,-24,34,39,-58,-82,-800,-39,29,38,-41,2
-34,-4,43,53,-53,-78,-790,-34,30,19,-32,13
-19,4,53,53,-53,-73,-790,-34,23,7,-21,13
-4,19,58,58,-53,-73,-780,-24,23,-7,-13,21
0,19,58,58,-53,-73,-780,-24,19,-9,-9,19
-19,-14,53,48,-63,-92,-775,-39,5,16,-12,-4
-39,-43,43,43,-68,-92,-775,-43,-4,41,-17,-23
-73,-63,39,39,-73,-92,-771,-43,10,68,-41,-26
-107,-78,29,34,-78,-92,-761,-43,29,92,-68,-24
-92,-68,39,34,-73,-102,-751,-34,24,80,-58,-22
-82,-58,39,29,-78,-107,-741,-43,24,70,-53,-17
-68,-43,39,29,-78,-107,-732,-43,25,55,-46,-9
-53,-34,39,29,-73,-107,-712,-43,19,43,-36,-7
-58,-39,24,19,-78,-117,-683,-48,19,48,-38,-10
-63,-48,24,24,-78,-112,-673,-53,15,55,-39,-16
-68,-53,19,24,-78,-112,-668,-58,15,60,-41,-19
-73,-48,14,19,-78,-117,-658,-63,25,60,-49,-11
-92,-58,19,29,-87,-112,-634,-53,34,75,-63,-12
-92,-68,19,29,-87,-112,-610,-53,24,80,-58,-22
-87,-58,24,29,-87,-112,-585,-53,29,72,-58,-14
-78,-39,34,29,-82,-107,-561,-48,39,58,-58,0
-87,-39,24,34,-82,-107,-527,-58,48,63,-67,4
-87,-63,24,34,-82,-107,-517,-58,24,75,-55,-19
-107,-87,19,24,-87,-117,-507,-63,20,97,-63,-33
-107,-102,14,19,-97,-122,-502,-68,5,104,-56,-48
-92,-92,14,19,-97,-112,-478,-58,0,92,-46,-46
-87,-78,19,24,-92,-107,-444,-58,9,82,-48,-34
-63,-48,29,24,-92,-102,-419,-58,15,55,-39,-16
-58,-29,39,24,-87,-102,-395,-53,29,43,-43,0
-48,-29,43,34,-82,-97,-356,-43,19,38,-33,-5
-58,-39,48,39,-78,-92,-326,-43,19,48,-38,-10
-78,-43,53,39,-78,-87,-302,-43,35,60,-56,-4
-78,-43,63,43,-73,-87,-287,-43,35,60,-56,-4
-92,-63,43,34,-73,-87,-239,-39,29,77,-60,-17
-63,-14,53,34,-63,-87,-204,-24,49,38,-56,17
-68,9,63,48,-63,-78,-204,-14,77,29,-72,43
-102,-39,78,63,-73,-102,-224,-29,63,70,-82,12
-146,-92,97,92,-78,-117,-229,-39,54,119,-100,-19
-151,-112,117,122,-53,-117,-234,-53,39,131,-95,-36
-126,-87,126,156,-29,-107,-244,-63,39,106,-82,-24
-87,-48,126,185,9,-78,-219,-53,39,67,-63,-4
-29,-9,122,195,78,-14,-165,-24,20,19,-24,5
-14,-9,87,170,146,63,-112,9,5,11,-9,-2
9,4,48,131,224,156,-73,48,-5,-6,7,0
58,48,24,102,317,273,-19,97,-10,-53,34,19
102,87,-24,48,405,400,58,161,-15,-94,58,36
175,141,-73,-4,497,551,151,244,-34,-158,104,53
283,200,-170,-97,595,692,244,317,-83,-241,183,58
385,219,-326,-283,649,834,322,385,-166,-302,275,26
483,258,-497,-478,702,985,414,448,-225,-370,354,16
575,336,-639,-639,775,1137,536,531,-239,-455,407,48
673,429,-771,-785,834,1278,639,624,-244,-551,458,92
766,512,-888,-927,858,1371,707,702,-254,-639,510,129
814,551,-980,-1049,834,1400,727,732,-263,-682,538,144
805,512,-1068,-1185,732,1302,692,697,-293,-658,549,109
790,468,-1146,-1307,512,1078,600,634,-322,-629,556,73
741,434,-1166,-1395,239,800,468,556,-307,-587,524,63
663,361,-1161,-1415,9,531,351,468,-302,-512,482,29
585,263,-1156,-1415,-180,287,239,375,-322,-424,453,-29
478,131,-1141,-1410,-380,48,107,268,-347,-304,412,-108
380,19,-1098,-1356,-585,-200,-53,151,-361,-199,370,-171
317,-63,-1024,-1302,-756,-395,-185,58,-380,-127,348,-221
297,-117,-951,-1215,-834,-488,-258,0,-414,-90,355,-265
292,-97,-854,-1083,-790,-468,-263,-14,-389,-97,340,-243
287,-34,-722,-912,-683,-405,-268,-4,-321,-126,304,-177
258,-24,-605,-756,-575,-366,-292,-19,-282,-117,270,-153
200,-78,-531,-639,-517,-356,-312,-53,-278,-61,239,-178
151,-112,-458,-541,-463,-331,-317,-63,-263,-19,207,-187
102,-112,-366,-424,-400,-297,-331,-58,-214,5,158,-163
53,-122,-292,-341,-341,-278,-351,-68,-175,34,114,-148
29,-126,-239,-273,-287,-253,-351,-68,-155,48,92,-140
53,-68,-185,-209,-234,-214,-341,-53,-121,7,87,-94
58,-29,-126,-141,-175,-180,-341,-48,-87,-14,72,-58
48,-29,-82,-97,-151,-156,-331,-43,-77,-9,62,-53
78,4,-48,-58,-131,-136,-322,-43,-74,-41,76,-35
68,43,-24,-14,-102,-122,-297,-34,-25,-55,46,9
-9,0,0,14,-87,-122,-292,-34,9,4,-9,4
-53,-48,4,24,-82,-131,-297,-63,5,50,-29,-21
-82,-87,9,24,-73,-126,-302,-63,-5,84,-38,-46
-87,-87,19,29,-68,-122,-307,-63,0,87,-43,-43
-78,-78,29,39,-58,-112,-312,-58,0,78,-39,-39
-68,-68,29,43,-48,-92,-307,-48,0,68,-34,-34
-58,-34,43,53,-43,-87,-287,-48,24,46,-41,-5
-53,-39,48,63,-34,-87,-283,-48,14,46,-33,-12
-43,-29,48,68,-29,-87,-268,-48,14,36,-28,-7
-53,-34,43,68,-34,-97,-278,-53,19,43,-36,-7
-53,-39,48,68,-34,-102,-268,-58,14,46,-33,-12
-73,-53,43,63,-43,-97,-253,-58,20,63,-46,-16
-92,-78,39,63,-53,-102,-253,-58,14,85,-53,-32
-87,-73,39,63,-48,-92,-253,-58,14,80,-50,-29
-92,-68,43,68,-43,-92,-244,-58,24,80,-58,-22
-92,-68,43,73,-39,-92,-244,-58,24,80,-58,-22
-92,-63,48,73,-34,-87,-248,-63,29,77,-60,-17
-107,-63,48,63,-43,-97,-258,-63,44,85,-75,-9
-107,-63,48,68,-34,-97,-258,-63,44,85,-75,-9
-112,-53,48,78,-29,-87,-258,-58,59,82,-85,3
-112,-48,48,68,-29,-87,-248,-58,64,80,-88,8
-97,-48,53,78,-19,-82,-239,-63,49,72,-73,0
-73,-48,53,78,-14,-78,-244,-63,25,60,-49,-11
-58,-48,58,78,-14,-73,-244,-58,10,53,-34,-19
-43,-39,58,82,-14,-68,-244,-58,4,41,-23,-17
-9,0,73,102,0,-53,-229,-48,9,4,-9,4
-4,19,78,107,4,-48,-234,-43,23,-7,-13,21
-14,34,78,112,4,-39,-229,-34,48,-10,-31,41
-9,53,73,117,9,-48,-224,-29,62,-22,-35,57
-29,29,58,102,9,-58,-219,-43,58,0,-43,43
-39,0,53,97,9,-58,-224,-48,39,19,-39,19
-48,-14,48,97,-4,-63,-224,-48,34,31,-41,10
-48,-24,43,102,4,-63,-224,-43,24,36,-36,0
-82,-34,53,107,9,-63,-214,-53,48,58,-65,7
-73,-34,53,107,9,-63,-214,-53,39,53,-56,2
-73,-43,53,107,9,-63,-214,-53,30,58,-51,-6
-73,-68,53,107,9,-68,-214,-58,5,70,-39,-31
-53,-43,68,122,29,-58,-190,-48,10,48,-31,-16
-53,-29,73,126,34,-43,-190,-29,24,41,-38,-2
-29,-14,78,136,53,-24,-170,-19,15,21,-22,0
9,9,82,141,58,-9,-156,-9,0,-9,4,4
9,19,78,151,53,-19,-165,-9,10,-14,0,14
-4,24,78,151,58,-19,-156,-4,28,-10,-16,26
-4,29,78,151,73,-14,-165,-4,33,-12,-18,31
9,43,82,156,73,-4,-165,-4,34,-26,-12,38
0,24,82,146,63,0,-165,-9,24,-12,-12,24
-19,0,78,141,58,-4,-170,-4,19,9,-19,9
-24,-29,78,141,58,-9,-170,-9,-5,26,-9,-17
-58,-53,73,151,63,-14,-170,-19,5,55,-31,-24
-68,-63,58,146,63,-14,-180,-24,5,65,-36,-29
-73,-68,53,146,58,-19,-190,-34,5,70,-39,-31
-78,-78,48,141,63,-24,-204,-39,0,78,-39,-39
-87,-82,48,136,68,-19,-204,-34,5,84,-46,-38
-68,-53,68,146,82,4,-180,-24,15,60,-41,-19
-48,-34,73,151,92,9,-165,-19,14,41,-31,-10
-24,-4,73,156,97,24,-170,-9,20,14,-22,8
4,9,78,161,112,34,-156,-4,5,-6,0,7
24,24,87,175,117,53,-126,0,0,-24,12,12
29,29,82,180,126,53,-112,4,0,-29,14,14
34,24,82,180,131,58,-97,9,-10,-29,22,7
29,29,78,175,131,58,-92,14,0,-29,14,14
4,4,68,161,126,48,-73,0,0,-4,2,2
-9,-9,63,156,126,53,-48,0,0,9,-4,-4
-9,-19,58,161,131,53,-39,0,-10,14,0,-14
-9,-29,48,141,131,53,-24,-4,-20,19,5,-24
-19,-24,43,146,136,58,-14,-14,-5,21,-7,-14
-14,-48,43,146,141,63,4,-9,-34,31,10,-41
-34,-63,39,141,141,58,19,-9,-29,48,-2,-46
-53,-92,24,141,141,53,34,-9,-39,72,-7,-65
-9,-48,34,165,175,82,48,4,-39,28,15,-43
34,-9,39,175,190,102,73,24,-43,-12,38,-26
63,24,48,185,204,126,87,39,-39,-43,51,-7
92,58,58,195,219,141,102,58,-34,-75,63,12
87,43,39,190,214,136,102,58,-44,-65,65,0
102,39,39,185,219,136,117,58,-63,-70,82,-12
117,48,39,180,229,141,122,53,-69,-82,93,-10
126,53,34,170,234,146,136,53,-73,-89,99,-10
112,48,24,170,224,146,112,43,-64,-80,88,-8
107,43,9,165,219,141,107,43,-64,-75,85,-10
78,14,0,156,219,141,102,43,-64,-46,71,-25
87,19,0,156,219,141,87,43,-68,-53,77,-24
92,29,0,146,209,141,82,34,-63,-60,77,-17
117,29,0,141,209,136,92,39,-88,-73,102,-29
131,43,4,136,209,136,87,53,-88,-87,109,-22
146,63,4,122,209,141,82,53,-83,-104,114,-10
146,53,-4,126,214,136,68,48,-93,-99,119,-20
126,43,-9,126,214,136,53,48,-83,-84,104,-20
102,34,-19,122,204,136,29,43,-68,-68,85,-17
73,0,-19,107,190,131,4,24,-73,-36,73,-36
82,0,-19,107,185,136,9,34,-82,-41,82,-41
102,9,-19,102,185,136,9,43,-93,-55,97,-42
117,34,-29,102,190,131,19,53,-83,-75,100,-24
136,63,-29,107,195,131,4,53,-73,-99,104,-5
146,58,-29,107,190,131,-19,43,-88,-102,117,-15
141,48,-29,97,180,122,-9,43,-93,-94,117,-22
136,48,-34,92,170,122,-29,48,-88,-92,112,-20
131,43,-39,92,161,117,-43,48,-88,-87,109,-22
107,24,-48,82,151,102,-53,29,-83,-65,95,-29
87,-4,-48,78,141,102,-63,29,-91,-41,89,-47
58,-19,-48,73,136,87,-63,24,-77,-19,67,-48
39,-48,-48,68,131,78,-58,24,-87,4,63,-67
63,-29,-48,73,122,82,-63,19,-92,-17,77,-60
82,-9,-48,63,117,73,-68,14,-91,-36,86,-50
102,0,-48,58,107,63,-73,9,-102,-51,102,-51
112,9,-48,58,97,63,-82,9,-103,-60,107,-47
102,4,-39,63,97,73,-87,19,-98,-53,100,-47
92,0,-29,68,102,73,-82,19,-92,-46,92,-46
82,-9,-29,73,107,73,-58,29,-91,-36,86,-50
68,-14,-29,73,107,63,-53,19,-82,-27,75,-48
29,-34,-43,58,82,53,-68,4,-63,2,46,-48
9,-53,-43,43,73,39,-68,0,-62,22,35,-57
4,-58,-39,48,73,34,-68,0,-62,27,33,-60
-9,-63,-34,43,68,34,-68,0,-54,36,22,-58
43,-19,-14,63,73,48,-48,14,-62,-12,52,-40
92,34,-9,68,78,53,-43,24,-58,-63,75,-12
117,53,-9,68,73,48,-39,29,-64,-85,90,-5
126,73,-4,73,78,48,-24,29,-53,-99,89,10
92,58,-4,63,63,34,-24,14,-34,-75,63,12
53,9,-9,58,48,24,-39,4,-44,-31,48,-17
14,-43,-14,48,39,4,-48,0,-57,14,35,-50
-14,-58,-19,43,29,0,-48,-4,-44,36,15,-51
-9,-34,-14,48,29,0,-39,-14,-25,21,8,-29
-9,-29,-9,53,29,0,-48,-14,-20,19,5,-24
-9,0,0,58,24,-4,-39,-14,9,4,-9,4
0,-9,0,58,24,-4,-29,-14,-9,4,4,-9
0,-14,0,53,34,0,-29,4,-14,7,7,-14
-4,-4,14,53,29,0,-43,4,0,4,-2,-2
19,19,19,58,29,0,-43,4,0,-19,9,9
34,29,29,63,39,0,-43,4,-5,-31,19,12
9,-4,4,58,14,-4,-48,-9,-13,-2,11,-8
-39,-39,0,53,-4,-19,-68,-14,0,39,-19,-19
-73,-73,-4,39,-14,-34,-87,-29,0,73,-36,-36
-112,-112,-4,34,-24,-43,-97,-43,0,112,-56,-56
-73,-82,14,48,-19,-39,-87,-34,-9,77,-32,-45
-34,-29,19,53,-9,-29,-87,-19,5,31,-19,-12
-4,-9,24,68,4,-19,-92,-9,-5,6,0,-7
-4,-4,34,78,14,-14,-92,-9,0,4,-2,-2
-19,0,43,87,24,-14,-102,-4,19,9,-19,9
4,29,53,87,19,-14,-107,4,25,-16,-10,27
9,34,53,87,9,-19,-102,9,25,-21,-8,29
9,39,53,87,4,-24,-97,9,30,-24,-10,34
-39,-9,34,68,-14,-43,-117,-9,30,24,-34,10
-78,-58,14,53,-34,-63,-136,-29,20,68,-49,-19
-112,-102,4,39,-53,-82,-161,-43,10,107,-61,-46
-151,-151,-14,19,-73,-112,-180,-63,0,151,-75,-75
-102,-107,0,34,-58,-97,-151,-53,-5,104,-48,-56
-82,-73,14,43,-43,-82,-136,-39,9,77,-45,-32
-43,-34,29,58,-29,-68,-131,-24,9,38,-26,-12
